DateID,Month,Year,Quarter
1,12,2024,4
2,11,2024,4
3,10,2024,4
4,9,2024,3
5,8,2024,3
6,7,2024,3
7,6,2024,2
8,5,2024,2
9,4,2024,2
10,3,2024,1
11,2,2024,1
12,1,2024,1
13,12,2023,4
14,11,2023,4
15,10,2023,4
16,9,2023,3
17,8,2023,3
18,7,2023,3
19,6,2023,2
20,5,2023,2
21,4,2023,2
22,3,2023,1
23,2,2023,1
24,1,2023,1
25,12,2022,4
26,11,2022,4
27,10,2022,4
28,9,2022,3
29,8,2022,3
30,7,2022,3
31,6,2022,2
32,5,2022,2
33,4,2022,2
34,3,2022,1
35,2,2022,1
36,1,2022,1
37,12,2021,4
38,11,2021,4
39,10,2021,4
40,9,2021,3
41,8,2021,3
42,7,2021,3
43,6,2021,2
44,5,2021,2
45,4,2021,2
46,3,2021,1
47,2,2021,1
48,1,2021,1
49,12,2020,4
50,11,2020,4
51,10,2020,4
52,9,2020,3
53,8,2020,3
54,7,2020,3
55,6,2020,2
56,5,2020,2
57,4,2020,2
58,3,2020,1
59,2,2020,1
60,1,2020,1
61,12,2019,4
62,11,2019,4
63,10,2019,4
64,9,2019,3
65,8,2019,3
66,7,2019,3
67,6,2019,2
68,5,2019,2
69,4,2019,2
70,3,2019,1
71,2,2019,1
72,1,2019,1
73,12,2018,4
74,11,2018,4
75,10,2018,4
76,9,2018,3
77,8,2018,3
78,7,2018,3
79,6,2018,2
80,5,2018,2
81,4,2018,2
82,3,2018,1
83,2,2018,1
84,1,2018,1
85,12,2017,4
86,11,2017,4
87,10,2017,4
88,9,2017,3
89,8,2017,3
90,7,2017,3
91,6,2017,2
92,5,2017,2
93,4,2017,2
94,3,2017,1
95,2,2017,1
96,1,2017,1
97,12,2016,4
98,11,2016,4
99,10,2016,4
100,9,2016,3
101,8,2016,3
102,7,2016,3
103,6,2016,2
104,5,2016,2
105,4,2016,2
106,3,2016,1
107,2,2016,1
108,1,2016,1
109,12,2015,4
110,11,2015,4
111,10,2015,4
112,9,2015,3
113,8,2015,3
114,7,2015,3
115,6,2015,2
116,5,2015,2
117,4,2015,2
118,3,2015,1
119,2,2015,1
120,1,2015,1
121,12,2014,4
122,11,2014,4
123,10,2014,4
124,9,2014,3
125,8,2014,3
126,7,2014,3
127,6,2014,2
128,5,2014,2
129,4,2014,2
130,3,2014,1
131,2,2014,1
132,1,2014,1
133,12,2013,4
134,11,2013,4
135,10,2013,4
136,9,2013,3
137,8,2013,3
138,7,2013,3
139,6,2013,2
140,5,2013,2
141,4,2013,2
142,3,2013,1
143,2,2013,1
144,1,2013,1
145,12,2012,4
146,11,2012,4
147,10,2012,4
148,9,2012,3
149,8,2012,3
150,7,2012,3
151,6,2012,2
152,5,2012,2
153,4,2012,2
154,3,2012,1
155,2,2012,1
156,1,2012,1
157,12,2011,4
158,11,2011,4
159,10,2011,4
160,9,2011,3
161,8,2011,3
162,7,2011,3
163,6,2011,2
164,5,2011,2
165,4,2011,2
166,3,2011,1
167,2,2011,1
168,1,2011,1
169,12,2010,4
170,11,2010,4
171,10,2010,4
172,9,2010,3
173,8,2010,3
174,7,2010,3
175,6,2010,2
176,5,2010,2
177,4,2010,2
178,3,2010,1
179,2,2010,1
180,1,2010,1
181,12,2009,4
182,11,2009,4
183,10,2009,4
184,9,2009,3
185,8,2009,3
186,7,2009,3
187,6,2009,2
188,5,2009,2
189,4,2009,2
190,3,2009,1
191,2,2009,1
192,1,2009,1
193,12,2008,4
194,11,2008,4
195,10,2008,4
196,9,2008,3
197,8,2008,3
198,7,2008,3
199,6,2008,2
200,5,2008,2
201,4,2008,2
202,3,2008,1
203,2,2008,1
204,1,2008,1
205,12,2007,4
206,11,2007,4
207,10,2007,4
208,9,2007,3
209,8,2007,3
210,7,2007,3
211,6,2007,2
212,5,2007,2
213,4,2007,2
214,3,2007,1
215,2,2007,1
216,1,2007,1
217,12,2006,4
218,11,2006,4
219,10,2006,4
220,9,2006,3
221,8,2006,3
222,7,2006,3
223,6,2006,2
224,5,2006,2
225,4,2006,2
226,3,2006,1
227,2,2006,1
228,1,2006,1
229,12,2005,4
230,11,2005,4
231,10,2005,4
232,9,2005,3
233,8,2005,3
234,7,2005,3
235,6,2005,2
236,5,2005,2
237,4,2005,2
238,3,2005,1
239,2,2005,1
240,1,2005,1
241,12,2004,4
242,11,2004,4
243,10,2004,4
244,9,2004,3
245,8,2004,3
246,7,2004,3
247,6,2004,2
248,5,2004,2
249,4,2004,2
250,3,2004,1
251,2,2004,1
252,1,2004,1
253,12,2003,4
254,11,2003,4
255,10,2003,4
256,9,2003,3
257,8,2003,3
258,7,2003,3
259,6,2003,2
260,5,2003,2
261,4,2003,2
262,3,2003,1
263,2,2003,1
264,1,2003,1
265,12,2002,4
266,11,2002,4
267,10,2002,4
268,9,2002,3
269,8,2002,3
270,7,2002,3
271,6,2002,2
272,5,2002,2
273,4,2002,2
274,3,2002,1
275,2,2002,1
276,1,2002,1
277,12,2001,4
278,11,2001,4
279,10,2001,4
280,9,2001,3
281,8,2001,3
282,7,2001,3
283,6,2001,2
284,5,2001,2
285,4,2001,2
286,3,2001,1
287,2,2001,1
288,1,2001,1
289,12,2000,4
290,11,2000,4
291,10,2000,4
292,9,2000,3
293,8,2000,3
294,7,2000,3
295,6,2000,2
296,5,2000,2
297,4,2000,2
298,3,2000,1
299,2,2000,1
300,1,2000,1
301,12,1999,4
302,11,1999,4
303,10,1999,4
304,9,1999,3
305,8,1999,3
306,7,1999,3
307,6,1999,2
308,5,1999,2
309,4,1999,2
310,3,1999,1
311,2,1999,1
312,1,1999,1
313,12,1998,4
314,11,1998,4
315,10,1998,4
316,9,1998,3
317,8,1998,3
318,7,1998,3
319,6,1998,2
320,5,1998,2
321,4,1998,2
322,3,1998,1
323,2,1998,1
324,1,1998,1
325,12,1997,4
326,11,1997,4
327,10,1997,4
328,9,1997,3
329,8,1997,3
330,7,1997,3
331,6,1997,2
332,5,1997,2
333,4,1997,2
334,3,1997,1
335,2,1997,1
336,1,1997,1
337,12,1996,4
338,11,1996,4
339,10,1996,4
340,9,1996,3
341,8,1996,3
342,7,1996,3
343,6,1996,2
344,5,1996,2
345,4,1996,2
346,3,1996,1
347,2,1996,1
348,1,1996,1
349,12,1995,4
350,11,1995,4
351,10,1995,4
352,9,1995,3
353,8,1995,3
354,7,1995,3
355,6,1995,2
356,5,1995,2
357,4,1995,2
358,3,1995,1
359,2,1995,1
360,1,1995,1
361,12,1994,4
362,11,1994,4
363,10,1994,4
364,9,1994,3
365,8,1994,3
366,7,1994,3
367,6,1994,2
368,5,1994,2
369,4,1994,2
370,3,1994,1
371,2,1994,1
372,1,1994,1
373,12,1993,4
374,11,1993,4
375,10,1993,4
376,9,1993,3
377,8,1993,3
378,7,1993,3
379,6,1993,2
380,5,1993,2
381,4,1993,2
382,3,1993,1
383,2,1993,1
384,1,1993,1
385,12,1992,4
386,11,1992,4
387,10,1992,4
388,9,1992,3
389,8,1992,3
390,7,1992,3
391,6,1992,2
392,5,1992,2
393,4,1992,2
394,3,1992,1
395,2,1992,1
396,1,1992,1
397,12,1991,4
398,11,1991,4
399,10,1991,4
400,9,1991,3
401,8,1991,3
402,7,1991,3
403,6,1991,2
404,5,1991,2
405,4,1991,2
406,3,1991,1
407,2,1991,1
408,1,1991,1
409,12,1990,4
410,11,1990,4
411,10,1990,4
412,9,1990,3
413,8,1990,3
414,7,1990,3
415,6,1990,2
416,5,1990,2
417,4,1990,2
418,3,1990,1
419,2,1990,1
420,1,1990,1
421,12,1989,4
422,11,1989,4
423,10,1989,4
424,9,1989,3
425,8,1989,3
426,7,1989,3
427,6,1989,2
428,5,1989,2
429,4,1989,2
430,3,1989,1
431,2,1989,1
432,1,1989,1
